Day,Tested,Cases,Recovered,Death,Vaccine_1,Vaccine_2,0-10,20-Nov,21-30,31-40,41-50,51-60,60+,Male,Female,Dhaka,Chattogram,Rajshahi,Khulna,Barisal,Sylhet,Rangpur,Mymensingh
1,28198,6469,2539,59,42360,0,0,0,1,4,11,13,30,35,24,40,5,2,4,1,5,2,0
2,29339,6830,2473,50,0,0,0,0,1,2,4,11,32,40,10,36,7,2,3,0,2,0,0
3,24548,5683,2364,58,0,0,0,0,0,4,4,16,34,38,20,39,12,0,3,2,0,1,1
4,30724,7087,2707,53,45538,0,0,1,0,2,5,11,34,45,8,37,9,1,0,0,0,3,3
5,30239,7075,2932,52,0,0,1,1,0,3,6,9,32,34,18,40,7,1,1,1,1,1,0
6,34311,7213,2969,66,16181,0,0,0,1,2,5,17,41,39,27,54,4,3,2,2,1,0,0
7,34630,7626,3256,63,13028,0,0,1,3,2,5,12,40,39,24,41,10,4,2,1,3,0,2
8,33193,6854,3391,74,14804,81323,0,0,1,5,6,16,46,48,26,43,15,3,7,4,2,0,0
9,31654,7462,3511,63,0,0,0,0,2,5,4,16,36,43,20,42,10,2,3,4,1,0,1
10,26077,5343,3837,77,19943,136703,0,1,3,2,5,22,44,53,24,51,15,3,2,1,1,4,0
11,29376,5819,4212,78,23657,165691,1,0,0,6,7,16,48,53,25,47,20,4,4,0,2,1,0
12,34968,7201,4523,83,22456,138879,0,0,0,4,11,16,52,54,29,54,17,3,4,2,2,1,0
13,32955,6028,4853,69,26750,210579,0,0,0,3,7,20,39,43,26,41,13,3,3,3,2,3,1
14,24825,5185,5333,96,0,0,0,0,2,2,12,25,55,59,37,68,12,0,5,5,3,0,3
15,19959,4192,5915,94,10572,196976,0,0,0,3,14,25,52,64,30,69,12,6,3,2,1,1,0
16,18906,4417,5694,101,0,0,0,0,0,7,8,23,63,67,34,59,20,3,5,4,1,6,3
17,16185,3473,5907,101,12157,221616,0,0,3,3,8,29,58,69,32,67,23,2,3,1,2,0,3
18,19404,3698,6121,102,15048,214842,0,0,0,2,14,23,63,59,43,68,22,3,1,4,0,0,4
19,24152,4271,6364,112,15057,140678,0,0,0,10,12,26,64,75,37,71,19,5,10,1,3,2,1
20,27056,4559,6811,91,15938,170902,0,1,0,7,11,18,54,58,33,60,17,3,5,4,0,2,0
21,28408,4280,7072,95,16817,137798,0,0,0,3,13,22,57,59,36,58,17,8,3,2,3,3,1
22,27429,4014,7266,98,16784,151988,0,2,1,2,14,20,59,62,36,55,20,6,5,0,4,3,5
23,25896,3629,5225,88,0,0,1,0,0,6,6,15,60,62,26,53,18,3,3,0,3,3,5
24,20571,2697,5477,83,20149,187321,0,0,0,5,5,17,56,58,25,52,13,3,5,4,3,3,0
25,21922,2922,4301,101,19520,171570,1,0,3,3,11,18,65,52,49,54,23,1,5,7,8,2,1
26,25786,3306,4241,97,891,131357,0,1,2,4,10,21,59,61,36,63,12,4,6,3,6,2,1
27,24237,3031,5234,78,325,120861,0,0,0,3,7,15,53,45,33,50,10,6,6,1,3,0,2
28,28206,2955,5392,77,30,119071,0,0,2,8,3,12,52,43,34,46,9,5,7,5,2,1,2
29,24928,2341,4782,88,10,107539,0,1,2,3,15,12,55,52,36,48,22,4,1,4,5,2,2
30,21046,2177,4325,57,0,0,0,0,1,1,7,13,35,32,25,28,13,2,5,2,5,2,0
